code,name,name_tv,gender,function,country_code,disciplines,events,birth_date
1532872,ALEKSANYAN Artur,Artur ALEKSANYAN,Male,Athlete,ARM,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1991-10-21
1532873,AMOYAN Malkhas,Malkhas AMOYAN,Male,Athlete,ARM,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1999-01-22
1532874,GALSTYAN Slavik,Slavik GALSTYAN,Male,Athlete,ARM,['Wrestling'],"[""Men's Greco-Roman 67kg""]",1996-12-21
1532944,HARUTYUNYAN Arsen,Arsen HARUTYUNYAN,Male,Athlete,ARM,['Wrestling'],"[""Men's Freestyle 57kg""]",1999-11-22
1532945,TEVANYAN Vazgen,Vazgen TEVANYAN,Male,Athlete,ARM,['Wrestling'],"[""Men's Freestyle 65kg""]",1999-10-27
1532951,ARENAS Lorena,Lorena ARENAS,Female,Athlete,COL,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1993-09-17
1533112,McKENZIE Ashley,Ashley McKENZIE,Male,Athlete,JAM,['Judo'],['Men -60 kg'],1989-07-17
1533136,BASS BITTAYE Gina Mariam,Gina Mariam BASS BITTAYE,Female,Athlete,GAM,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",1995-05-03
1533176,CAMARA Ebrahima,Ebrahima CAMARA,Male,Athlete,GAM,['Athletics'],"[""Men's 100m""]",1996-09-18
1533188,RUEDA SANTOS Lizeth,Lizeth RUEDA SANTOS,Female,Athlete,MEX,['Triathlon'],"[""Women's Individual""]",1994-03-07
1533189,TAPIA VIDAL Rosa Maria,Rosa Maria TAPIA VIDAL,Female,Athlete,MEX,['Triathlon'],"[""Women's Individual""]",1997-08-27
1533190,GRAJALES Crisanto,Crisanto GRAJALES,Male,Athlete,MEX,['Triathlon'],"[""Men's Individual""]",1987-05-06
1533208,MAAROUFOU Hachim,Hachim MAAROUFOU,Male,Athlete,COM,['Athletics'],"[""Men's 100m""]",1997-02-13
1533209,SAADI Maesha,Maesha SAADI,Female,Athlete,COM,['Swimming'],"[""Women's 50m Freestyle""]",2007-01-16
1533230,DIOSDADO Nuria,Nuria DIOSDADO,Female,Athlete,MEX,['Artistic Swimming'],"['Team', 'Duet']",1990-08-22
1533231,JIMENEZ Joana,Joana JIMENEZ,Female,Athlete,MEX,['Artistic Swimming'],"['Team', 'Duet']",1993-08-19
1533232,SOBRINO Jessica,Jessica SOBRINO,Female,Athlete,MEX,['Artistic Swimming'],['Team'],1994-05-26
1533234,ALFEREZ Regina,Regina ALFEREZ,Female,Athlete,MEX,['Artistic Swimming'],['Team'],1997-12-01
1533235,ARELLANO Fernanda,Fernanda ARELLANO,Female,Athlete,MEX,['Artistic Swimming'],['Team'],2002-02-28
1533237,TOSCANO Pamela,Pamela TOSCANO,Female,Athlete,MEX,['Artistic Swimming'],['Team'],2000-01-13
1533239,GONZALEZ Itzamary,Itzamary GONZALEZ,Female,Athlete,MEX,['Artistic Swimming'],['Team'],2003-11-14
1533240,RODRIGUEZ Samanta,Samanta RODRIGUEZ,Female,Athlete,MEX,['Artistic Swimming'],['Team'],1994-12-05
1533243,INZUNZA Glenda,Glenda INZUNZA,Female,Alternate Athlete,MEX,['Artistic Swimming'],['Team'],2000-03-12
1533245,SEHEN Sajjad,Sajjad SEHEN,Male,Athlete,IRQ,['Judo'],['Men -81 kg'],1996-03-08
1533359,RUBAIAWI Ali Ammar Yusur,Ali Ammar Yusur RUBAIAWI,Male,Athlete,IRQ,['Weightlifting'],"[""Men's +102kg""]",2004-08-02
1533364,ISMAIL Mohamed,Mohamed ISMAIL,Male,Athlete,DJI,['Athletics'],"[""Men's 5000m""]",1997-01-01
1533371,HASSAN Ibrahim,Ibrahim HASSAN,Male,Athlete,DJI,['Athletics'],"[""Men's Marathon""]",1997-01-01
1533372,WAISS Abdi,Abdi WAISS,Male,Athlete,DJI,['Athletics'],"[""Men's 5000m""]",1996-07-03
1533374,HASSAN NOUR Samiyah,Samiyah HASSAN NOUR,Female,Athlete,DJI,['Athletics'],"[""Women's 5000m""]",1999-12-05
1533378,HOUSSEIN BARKAT Houmed,Houmed HOUSSEIN BARKAT,Male,Athlete,DJI,['Swimming'],"[""Men's 50m Freestyle""]",2004-04-04
1535180,BARAT Andy,Andy BARAT,Male,Athlete,COM,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",1997-11-29
1535186,MARTINEZ RAMIREZ Miguel Angel,Miguel Angel MARTINEZ RAMIREZ,Male,Athlete,MEX,['Boxing'],"[""Men's 63.5kg""]",2001-03-17
1535187,VERDE ALVAREZ Marco Alonso,Marco Alonso VERDE ALVAREZ,Male,Athlete,MEX,['Boxing'],"[""Men's 71kg""]",2002-02-11
1535191,GONZALEZ Alegna,Alegna GONZALEZ,Female,Athlete,MEX,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1999-01-02
1535195,LOPEZ Jesus Tonatiu,Jesus Tonatiu LOPEZ,Male,Athlete,MEX,['Athletics'],"[""Men's 800m""]",1997-08-02
1535199,PORTILLO Erick,Erick PORTILLO,Male,Athlete,MEX,['Athletics'],"[""Men's High Jump""]",2000-10-05
1535201,MUNOZ Uziel,Uziel MUNOZ,Male,Athlete,MEX,['Athletics'],"[""Men's Shot Put""]",1995-09-08
1535202,del REAL Diego,Diego del REAL,Male,Athlete,MEX,['Athletics'],"[""Men's Hammer Throw""]",1994-03-06
1535203,DOCTOR Jose Luis,Jose Luis DOCTOR,Male,Athlete,MEX,['Athletics'],"[""Men's 20km Race Walk""]",1996-06-14
1535212,MORAN Paola,Paola MORAN,Female,Athlete,MEX,['Athletics'],"[""Women's 400m""]",1997-02-25
1535214,GALVAN Laura,Laura GALVAN,Female,Athlete,MEX,['Athletics'],"[""Women's 5000m""]",1991-10-05
1535216,CORTES Alma Delia,Alma Delia CORTES,Female,Athlete,MEX,['Athletics'],"[""Women's 5000m""]",1997-12-26
1535217,CRISTIAN MOSCOTE Citlali,Citlali CRISTIAN MOSCOTE,Female,Athlete,MEX,['Athletics'],"[""Women's Marathon""]",1995-04-15
1535222,PALMA OLIVARES Ever Jair,Ever Jair PALMA OLIVARES,Male,Athlete,MEX,['Athletics'],['Marathon Race Walk Relay Mixed'],1992-03-18
1535225,OETLING RAMIREZ Elena,Elena OETLING RAMIREZ,Female,Athlete,MEX,['Sailing'],"[""Women's Dinghy""]",1993-04-18
1535226,AGUILAR CHAVEZ PEON Mariana,Mariana AGUILAR CHAVEZ PEON,Female,Athlete,MEX,['Sailing'],"[""Women's Windsurfing""]",1999-03-12
1535252,LECHUGA ALANIS Kenia,Kenia LECHUGA ALANIS,Female,Athlete,MEX,['Rowing'],"[""Women's Single Sculls""]",1994-06-26
1535260,LOPEZ GARCIA Alexis,Alexis LOPEZ GARCIA,Male,Athlete,MEX,['Rowing'],"[""Lightweight Men's Double Sculls""]",1997-05-01
1535267,CARBALLO NIETO Miguel,Miguel CARBALLO NIETO,Male,Athlete,MEX,['Rowing'],"[""Lightweight Men's Double Sculls""]",1992-07-08
1535310,BLANCO Luisa,Luisa BLANCO,Female,Athlete,COL,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",2001-11-18
1535343,WILLARS VALDEZ Randal,Randal WILLARS VALDEZ,Male,Athlete,MEX,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",2002-04-30
