event,tag,sport,sport_code
Men's Individual,archery,Archery,ARC
Women's Individual,archery,Archery,ARC
Men's Team,archery,Archery,ARC
Women's Team,archery,Archery,ARC
Mixed Team,archery,Archery,ARC
Men's Team,artistic-gymnastics,Artistic Gymnastics,GAR
Men's All-Around,artistic-gymnastics,Artistic Gymnastics,GAR
Men's Floor Exercise,artistic-gymnastics,Artistic Gymnastics,GAR
Men's Pommel Horse,artistic-gymnastics,Artistic Gymnastics,GAR
Men's Rings,artistic-gymnastics,Artistic Gymnastics,GAR
Men's Vault,artistic-gymnastics,Artistic Gymnastics,GAR
Men's Parallel Bars,artistic-gymnastics,Artistic Gymnastics,GAR
Men's Horizontal Bar,artistic-gymnastics,Artistic Gymnastics,GAR
Women's Team,artistic-gymnastics,Artistic Gymnastics,GAR
Women's All-Around,artistic-gymnastics,Artistic Gymnastics,GAR
Women's Vault,artistic-gymnastics,Artistic Gymnastics,GAR
Women's Uneven Bars,artistic-gymnastics,Artistic Gymnastics,GAR
Women's Balance Beam,artistic-gymnastics,Artistic Gymnastics,GAR
Women's Floor Exercise,artistic-gymnastics,Artistic Gymnastics,GAR
Duet,artistic-swimming,Artistic Swimming,SWA
Team,artistic-swimming,Artistic Swimming,SWA
Men's 100m,athletics,Athletics,ATH
Men's 200m,athletics,Athletics,ATH
Men's 400m,athletics,Athletics,ATH
Men's 800m,athletics,Athletics,ATH
Men's 1500m,athletics,Athletics,ATH
Men's 5000m,athletics,Athletics,ATH
"Men's 10,000m",athletics,Athletics,ATH
Men's Marathon,athletics,Athletics,ATH
Men's 3000m Steeplechase,athletics,Athletics,ATH
Men's 110m Hurdles,athletics,Athletics,ATH
Men's 400m Hurdles,athletics,Athletics,ATH
Men's High Jump,athletics,Athletics,ATH
Men's Pole Vault,athletics,Athletics,ATH
Men's Long Jump,athletics,Athletics,ATH
Men's Triple Jump,athletics,Athletics,ATH
Men's Shot Put,athletics,Athletics,ATH
Men's Discus Throw,athletics,Athletics,ATH
Men's Hammer Throw,athletics,Athletics,ATH
Men's Javelin Throw,athletics,Athletics,ATH
Men's Decathlon,athletics,Athletics,ATH
Men's 20km Race Walk,athletics,Athletics,ATH
Men's 4 x 100m Relay,athletics,Athletics,ATH
Men's 4 x 400m Relay,athletics,Athletics,ATH
Women's 100m,athletics,Athletics,ATH
Women's 200m,athletics,Athletics,ATH
Women's 400m,athletics,Athletics,ATH
Women's 800m,athletics,Athletics,ATH
Women's 1500m,athletics,Athletics,ATH
Women's 5000m,athletics,Athletics,ATH
"Women's 10,000m",athletics,Athletics,ATH
Women's Marathon,athletics,Athletics,ATH
Women's 3000m Steeplechase,athletics,Athletics,ATH
Women's 100m Hurdles,athletics,Athletics,ATH
Women's 400m Hurdles,athletics,Athletics,ATH
Women's High Jump,athletics,Athletics,ATH
Women's Pole Vault,athletics,Athletics,ATH
Women's Long Jump,athletics,Athletics,ATH
Women's Triple Jump,athletics,Athletics,ATH
Women's Shot Put,athletics,Athletics,ATH
Women's Discus Throw,athletics,Athletics,ATH
Women's Hammer Throw,athletics,Athletics,ATH
Women's Javelin Throw,athletics,Athletics,ATH
Women's Heptathlon,athletics,Athletics,ATH
Women's 20km Race Walk,athletics,Athletics,ATH
Women's 4 x 100m Relay,athletics,Athletics,ATH
Women's 4 x 400m Relay,athletics,Athletics,ATH
4 x 400m Relay Mixed,athletics,Athletics,ATH
Marathon Race Walk Relay Mixed,athletics,Athletics,ATH
Men's Singles,badminton,Badminton,BDM
Women's Singles,badminton,Badminton,BDM
Men's Doubles,badminton,Badminton,BDM
Women's Doubles,badminton,Badminton,BDM
Mixed Doubles,badminton,Badminton,BDM
Men,basketball,Basketball,BKB
Women,basketball,Basketball,BKB
Men,3x3-basketball,3x3 Basketball,BK3
Women,3x3-basketball,3x3 Basketball,BK3
Men,beach-volleyball,Beach Volleyball,VBV
Women,beach-volleyball,Beach Volleyball,VBV
Men's 51kg,boxing,Boxing,BOX
Men's 57kg,boxing,Boxing,BOX
Men's 63.5kg,boxing,Boxing,BOX
Men's 71kg,boxing,Boxing,BOX
Men's 80kg,boxing,Boxing,BOX
Men's 92kg,boxing,Boxing,BOX
Men's +92kg,boxing,Boxing,BOX
Women's 50kg,boxing,Boxing,BOX
Women's 54kg,boxing,Boxing,BOX
Women's 57kg,boxing,Boxing,BOX
Women's 60kg,boxing,Boxing,BOX
Women's 66kg,boxing,Boxing,BOX
Women's 75kg,boxing,Boxing,BOX
B-Boys,breaking,Breaking,BKG
B-Girls,breaking,Breaking,BKG
Men's Kayak Single,canoe-kayak-slalom,Canoe Slalom,CSL
Women's Kayak Single,canoe-kayak-slalom,Canoe Slalom,CSL
Men's Canoe Single,canoe-kayak-slalom,Canoe Slalom,CSL
Women's Canoe Single,canoe-kayak-slalom,Canoe Slalom,CSL
Men's Kayak Cross,canoe-kayak-slalom,Canoe Slalom,CSL
Women's Kayak Cross,canoe-kayak-slalom,Canoe Slalom,CSL
Men's Kayak Single 1000m,canoe-kayak-flatwater,Canoe Sprint,CSP
Men's Kayak Double 500m,canoe-kayak-flatwater,Canoe Sprint,CSP
Men's Kayak Four 500m,canoe-kayak-flatwater,Canoe Sprint,CSP
Men's Canoe Single 1000m,canoe-kayak-flatwater,Canoe Sprint,CSP
Men's Canoe Double 500m,canoe-kayak-flatwater,Canoe Sprint,CSP
Women's Kayak Single 500m,canoe-kayak-flatwater,Canoe Sprint,CSP
Women's Kayak Double 500m,canoe-kayak-flatwater,Canoe Sprint,CSP
Women's Kayak Four 500m,canoe-kayak-flatwater,Canoe Sprint,CSP
Women's Canoe Single 200m,canoe-kayak-flatwater,Canoe Sprint,CSP
Women's Canoe Double 500m,canoe-kayak-flatwater,Canoe Sprint,CSP
Women's Park,cycling-bmx-freestyle,Cycling BMX Freestyle,BMF
Men's Park,cycling-bmx-freestyle,Cycling BMX Freestyle,BMF
